age,session,count
25 ~ 29,2,0
25 ~ 29,3,0
25 ~ 29,4,1
25 ~ 29,5,2
25 ~ 29,6,1
25 ~ 29,7,1
25 ~ 29,8,0
30 ~ 34,2,1
30 ~ 34,3,3
30 ~ 34,4,5
30 ~ 34,5,5
30 ~ 34,6,2
30 ~ 34,7,3
30 ~ 34,8,0
35 ~ 39,2,23
35 ~ 39,3,14
35 ~ 39,4,16
35 ~ 39,5,7
35 ~ 39,6,7
35 ~ 39,7,2
35 ~ 39,8,0
40 ~ 44,2,14
40 ~ 44,3,18
40 ~ 44,4,22
40 ~ 44,5,28
40 ~ 44,6,6
40 ~ 44,7,4
40 ~ 44,8,0
45 ~ 49,2,11
45 ~ 49,3,19
45 ~ 49,4,17
45 ~ 49,5,32
45 ~ 49,6,20
45 ~ 49,7,6
45 ~ 49,8,0
50 ~ 54,2,14
50 ~ 54,3,11
50 ~ 54,4,16
50 ~ 54,5,19
50 ~ 54,6,13
50 ~ 54,7,14
50 ~ 54,8,0
55 ~ 59,2,7
55 ~ 59,3,7
55 ~ 59,4,8
55 ~ 59,5,8
55 ~ 59,6,8
55 ~ 59,7,10
55 ~ 59,8,0
60 ~ 64,2,0
60 ~ 64,3,0
60 ~ 64,4,3
60 ~ 64,5,3
60 ~ 64,6,2
60 ~ 64,7,3
60 ~ 64,8,0
65 ~ 69,2,0
65 ~ 69,3,0
65 ~ 69,4,0
65 ~ 69,5,1
65 ~ 69,6,0
65 ~ 69,7,0
65 ~ 69,8,0
70 ~ 74,2,0
70 ~ 74,3,0
70 ~ 74,4,0
70 ~ 74,5,0
70 ~ 74,6,0
70 ~ 74,7,0
70 ~ 74,8,0
75 ~ 79,2,0
75 ~ 79,3,0
75 ~ 79,4,0
75 ~ 79,5,0
75 ~ 79,6,0
75 ~ 79,7,0
75 ~ 79,8,0
