,地區,姓名,號次,性別,出生年次,參選年齡,推薦政黨,得票數,得票率,當選註記,是否現任,,
第八屆(2012),屏東縣第01選區,陳俊豪,1,男,1986,26,台灣主義黨,2283,1.40%,,否,,
第八屆(2012),臺中市第04選區,楊書銘,3,男,1984,28,人民最大黨,1104,0.55%,,否,,
第八屆(2012),雲林縣第01選區,張嘉郡,2,女,1981,31,中國國民黨,90811,50.44%,*,是,,
第八屆(2012),臺北市第01選區,張志傑,2,男,1982,30,台灣國民會議,2236,1.10%,,否,,
第八屆(2012),高雄市第04選區,邱于軒,3,女,1982,30,中國國民黨,58261,33.96%,,否,,
第八屆(2012),臺北市第07選區,黎俊廷,4,男,1981,31,無黨籍及未經政黨推薦,19260,10.63%,,否,,
第八屆(2012),桃園縣第04選區,陳叡德,2,男,1981,31,台灣國民會議,1255,0.69%,,否,,
第八屆(2012),桃園縣第05選區,陳振瑋,6,男,1981,31,台灣國民會議,1346,0.77%,,否,,
第八屆(2012),嘉義縣第01選區,蔡易餘,1,男,1981,31,民主進步黨,72586,49.69%,,否,,
第八屆(2012),臺北市第05選區,周志文,6,男,1980,32,人民民主陣線,461,0.25%,,否,,
第八屆(2012),臺北市第08選區,余宛如,4,女,1980,32,綠黨,3715,1.99%,,否,,
第八屆(2012),新北市第10選區,游俊文,4,男,1980,32,台灣主義黨,1324,0.70%,,否,,
第八屆(2012),臺東縣第01選區,謝文漢,1,男,1980,32,綠黨,551,0.72%,,否,,
第八屆(2012),臺北市第06選區,周佩民,2,男,1979,33,台灣主義黨,469,0.25%,,否,,
第八屆(2012),新北市第05選區,江定謙,4,男,1979,33,健保免費連線,2101,1.22%,,否,,
第八屆(2012),臺中市第06選區,蔡和興,7,男,1979,33,無黨籍及未經政黨推薦,607,0.32%,,否,,
第八屆(2012),高雄市第03選區,林震洋,3,男,1979,33,綠黨,3448,1.66%,,否,,
第八屆(2012),高雄市第09選區,陳致中,1,男,1979,33,無黨籍及未經政黨推薦,48941,26.63%,,否,,
第八屆(2012),新北市第01選區,王鐘銘,3,男,1978,34,綠黨,5038,2.37%,,否,,
第八屆(2012),新北市第05選區,黃志雄,1,男,1976,36,中國國民黨,90856,52.77%,*,是,,
第八屆(2012),嘉義縣第02選區,陳以真,2,女,1977,35,中國國民黨,70477,44.80%,,否,,
第八屆(2012),嘉義市第01選區,陳建豪,1,男,1977,35,台灣國民會議,3922,2.64%,,否,,
第八屆(2012),基隆市第01選區,謝國樑,3,男,1975,37,中國國民黨,110196,52.39%,*,是,,
第八屆(2012),臺南市第03選區,陳亭妃,2,女,1974,38,民主進步黨,139301,61.66%,*,是,,
第八屆(2012),臺北市第05選區,陳彥甫,1,男,1976,36,健保免費連線,1461,0.80%,,否,,
第八屆(2012),臺南市第04選區,蘇俊賓,1,男,1976,36,中國國民黨,102266,46.97%,,否,,
第八屆(2012),新北市第01選區,余宗珮,2,女,1975,37,親民黨,9359,4.40%,,否,,
第八屆(2012),高雄市第08選區,江玲君,5,女,1975,37,中國國民黨,90186,44.93%,,是,,
第八屆(2012),彰化縣第01選區,施月英,2,女,1975,37,綠黨,2717,1.51%,,否,,
第八屆(2012),新北市第02選區,林淑芬,3,女,1973,39,民主進步黨,114091,58.72%,*,是,,
